a52dec 0.8.0-3.1
libwireplumber 0.5.15-1.1
libwmf 0.2.15-1.1
libx11 1.8.13-1.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-2.1
libxext 1.3.7-1.1
libxfce4ui 4.20.2-1.1
libxfce4util 4.20.1-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.8-1.1
libxft 2.3.9-1.2
libxi 1.8.3-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.2-1.1
libxkbcommon-x11 1.13.2-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.3-1.1
libxmlb 0.3.29-1.1
libxmu 1.3.1-1.1
libxpm 3.5.19-1.1
libxpresent 1.0.2-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.28.0-1
linux-api-headers 1:7.1-1
lld 22.1.8-1.1
llhttp 9.3.1-1.1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
lua 5.5.0-2.2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6.1
luajit 2.1.1785606157+2808400-1.1
lv2 1.18.10-2.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-3.1
md4c 0.5.3-1.1
mesa 3:26.1.6-1
meson 1.11.2-1
mjpegtools 2.2.1-4.1
mkinitcpio 41-5
mkinitcpio-busybox 1.36.1-1.1
mpdecimal 4.0.1-3.1
mpfr 4.2.2-1.1
mpg123 1.33.5-1.1
msgpack-c 7.0.1-1.1
mtdev 1.1.7-1.1
mujs 1.3.9-1.1
muparser 2.3.5-2.1
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
ncurses 6.6-2.1
neon 0.37.1-1
nettle 4.0-1.1
nftables 1:1.1.6-3
ninja 1.13.2-3.1
nodejs 26.4.0-2
npth 1.8-1.1
nspr 4.39-1.1
nss 3.126-1.1
ocl-icd 2.3.5-1.1
onetbb 2023.1.0-1.1
oniguruma 6.9.10-1.1
openal 1.25.2-1.1
opencore-amr 0.1.6-2.1
openexr 3.4.13-3.1
openh264 2.6.0-2.1
openjpeg2 2.5.4-1.1
openjph 0.31.0-1.1
openssl 3.6.3-1.1
opus 1.6.1-1.1
orc 0.4.42-1.1
p11-kit 0.26.4-1.1
pacman 7.1.0.r9.g54d9411-4
pacman-mirrorlist 20260610-1
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20260616-1
pango 1:1.58.0-1.1
patch 2.8-1.1
pciutils 3.15.0-1.1
pcre 8.45-4.1
pcre2 10.47-1.1
perl 5.42.2-1.1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1.1
pipewire-session-manager 1:1.6.8-1.1
pixman 0.46.4-1.1
pkgconf 3.0.4-1.1
polkit 127-3.1
polkit-qt5 0.201.1-1
poppler 26.07.0-1.1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1.1
popt 1.19-2.1
portaudio 1:19.7.0-4.1
procps-ng 4.0.6-3
protobuf 35.1-1.1
psmisc 23.7-2.1
pugixml 1.16-1.1
python 3.14.6-2
python-attrs 26.1.0-1
python-cairo 1.29.0-2.1
python-cffi 2.1.0-1.1
python-cryptography 49.0.0-1.1
python-dbus 1.4.0-2
python-filelock 3.29.3-1
python-gobject 3.56.3-1
python-packaging 26.2-1
python-pip 26.1.2-1
python-psutil 7.2.2-1.1
python-pycparser 3.00-1
python-pyparsing 3.3.2-1
